date,LeaderName,leader,member,MemberName
2018/Jan,106團,9,38,107冬令彰化田中之愛
2017/Jul,106團,9,31,106夏令高雄茂林之愛
2017/Jan,105團,12,45,106冬令花蓮瑞穗之愛
2016/Jul,105團,12,33,105夏令屏東滿州之愛
2016/Jan,104團,6,43,105冬令雲林口湖之愛
2015/Jul,104團,6,31,104夏令南投信義之愛
2015/Jan,103團,12,47,104冬令花蓮秀林之愛
2014/Jul,103團,12,35,103夏令南投信義之愛
2014/Jan,102團,12,60,103冬令屏東來義之愛
2013/Jul,102團,12,35,102夏令台東長濱之愛
2013/Jan,101團,13,54,102冬令台東金峰之愛
2012/Jul,101團,13,39,101夏令南投仁愛之愛
2012/Jan,100團,14,51,101冬令台東池上之愛
2011/Jul,100團,14,44,100夏令花蓮玉里之愛
2011/Jan,99團,11,50,100冬令海端之愛
2010/Jul,99團,11,,
2010/Jan,98團,16,,
2009/Jul,98團,16,,
2009/Jan,97團,9,,
2008/Jul,97團,9,,
2008/Jan,96團,13,,
2007/Jan,95團,12,,
2007/Jul,95團,12,,
2006/Jan,94團,15,,
2006/Jul,94團,15,,
2005/Jan,93團,15,,
2005/Jul,93團,15,,
2004/Jan,92團,15,,
2004/Jul,92團,15,,
2003/Jan,91團,15,,
2003/Jul,91團,15,,
2002/Jan,90團,14,,
2002/Jul,90團,14,,
2001/Jan,89團,14,,
2001/Jul,89團,13,,
